          RI        Na         K        Mg        Al        Ca        Si        Ba        Fe
RI  1.000000  0.575046 -0.814314  0.408202 -0.719171  0.836862 -0.805009  0.057530 -0.163278
Na  0.575046  1.000000 -0.719579  0.387855 -0.602693  0.345240 -0.812433  0.148413 -0.336681
K  -0.814314 -0.719579  1.000000 -0.516139  0.742968 -0.712935  0.812690 -0.170813  0.144010
Mg  0.408202  0.387855 -0.516139  1.000000 -0.397595  0.142625 -0.505223  0.007275 -0.195514
Al -0.719171 -0.602693  0.742968 -0.397595  1.000000 -0.736246  0.617031  0.080974  0.089194
Ca  0.836862  0.345240 -0.712935  0.142625 -0.736246  1.000000 -0.678689 -0.029344  0.044043
Si -0.805009 -0.812433  0.812690 -0.505223  0.617031 -0.678689  1.000000 -0.210150  0.190634
Ba  0.057530  0.148413 -0.170813  0.007275  0.080974 -0.029344 -0.210150  1.000000 -0.060753
Fe -0.163278 -0.336681  0.144010 -0.195514  0.089194  0.044043  0.190634 -0.060753  1.000000
          RI        Na         K        Mg        Al        Ca        Si        Ba        Fe
RI  1.000000 -0.382640 -0.585846 -0.755860 -0.414190  0.931298 -0.663671  0.380787  0.204857
Na -0.382640  1.000000 -0.042679  0.350884  0.013209 -0.450047 -0.074349 -0.414406 -0.168144
K  -0.585846 -0.042679  1.000000  0.535960  0.661025 -0.640239  0.192594  0.041067  0.027786
Mg -0.755860  0.350884  0.535960  1.000000  0.264576 -0.902887  0.268694 -0.291767 -0.156150
Al -0.414190  0.013209  0.661025  0.264576  1.000000 -0.449557 -0.063017  0.254754  0.016885
Ca  0.931298 -0.450047 -0.640239 -0.902887 -0.449557  1.000000 -0.451420  0.252129  0.184824
Si -0.663671 -0.074349  0.192594  0.268694 -0.063017 -0.451420  1.000000 -0.439874 -0.244039
Ba  0.380787 -0.414406  0.041067 -0.291767  0.254754  0.252129 -0.439874  1.000000  0.250751
Fe  0.204857 -0.168144  0.027786 -0.156150  0.016885  0.184824 -0.244039  0.250751  1.000000
          RI        Na         K        Mg        Al        Ca        Si        Ba        Fe
RI  1.000000  0.681784 -0.707483  0.662667 -0.621194  0.930569 -0.736808  0.257019  0.126468
Na  0.681784  1.000000 -0.715864  0.415452 -0.526551  0.627203 -0.603682  0.149324 -0.180468
K  -0.707483 -0.715864  1.000000 -0.712762  0.850439 -0.663846  0.231041 -0.301018  0.147488
Mg  0.662667  0.415452 -0.712762  1.000000 -0.701904  0.575716 -0.281766  0.004897  0.076639
Al -0.621194 -0.526551  0.850439 -0.701904  1.000000 -0.619483  0.046011 -0.357377  0.067717
Ca  0.930569  0.627203 -0.663846  0.575716 -0.619483  1.000000 -0.713028  0.093580 -0.137912
Si -0.736808 -0.603682  0.231041 -0.281766  0.046011 -0.713028  1.000000  0.102791  0.068115
Ba  0.257019  0.149324 -0.301018  0.004897 -0.357377  0.093580  0.102791  1.000000  0.454957
Fe  0.126468 -0.180468  0.147488  0.076639  0.067717 -0.137912  0.068115  0.454957  1.000000
          RI        Na         K        Mg        Al        Ca        Si        Ba        Fe
RI  1.000000 -0.183976 -0.843136  0.259097 -0.852215  0.813791  0.540195 -0.326147  0.285631
Na -0.183976  1.000000  0.073515  0.108398  0.181519 -0.389971 -0.562942  0.376811  0.248845
K  -0.843136  0.073515  1.000000 -0.314871  0.736856 -0.719310 -0.624591  0.017519 -0.192775
Mg  0.259097  0.108398 -0.314871  1.000000 -0.129412 -0.258593 -0.268109  0.398569  0.503626
Al -0.852215  0.181519  0.736856 -0.129412  1.000000 -0.833850 -0.686056  0.616252 -0.202767
Ca  0.813791 -0.389971 -0.719310 -0.258593 -0.833850  1.000000  0.816144 -0.571906 -0.099826
Si  0.540195 -0.562942 -0.624591 -0.268109 -0.686056  0.816144  1.000000 -0.551038 -0.128971
Ba -0.326147  0.376811  0.017519  0.398569  0.616252 -0.571906 -0.551038  1.000000 -0.034943
Fe  0.285631  0.248845 -0.192775  0.503626 -0.202767 -0.099826 -0.128971 -0.034943  1.000000
          RI        Na         K        Mg        Al        Ca        Si  Ba        Fe
RI  1.000000 -0.411176  0.435672 -0.330700 -0.142680  0.883542 -0.600454 NaN  0.435672
Na -0.411176  1.000000 -0.783601 -0.008957 -0.028732 -0.317847 -0.088607 NaN -0.783601
K   0.435672 -0.783601  1.000000 -0.360594  0.011824  0.452225  0.214983 NaN  1.000000
Mg -0.330700 -0.008957 -0.360594  1.000000  0.088697 -0.713109 -0.257952 NaN -0.360594
Al -0.142680 -0.028732  0.011824  0.088697  1.000000 -0.223887 -0.311608 NaN  0.011824
Ca  0.883542 -0.317847  0.452225 -0.713109 -0.223887  1.000000 -0.283056 NaN  0.452225
Si -0.600454 -0.088607  0.214983 -0.257952 -0.311608 -0.283056  1.000000 NaN  0.214983
Ba NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN NaN      
Fe  0.435672 -0.783601  1.000000 -0.360594  0.011824  0.452225  0.214983 NaN  1.000000
          RI        Na         K        Mg        Al        Ca        Si        Ba        Fe
RI  1.000000 -0.120688  0.053859  0.355491 -0.097684  0.325135 -0.682742  0.150369 -0.091236
Na -0.120688  1.000000 -0.568241 -0.199455 -0.233938 -0.158931 -0.050338  0.083427 -0.021056
K   0.053859 -0.568241  1.000000  0.456917 -0.327767 -0.459053 -0.037899  0.008374 -0.211264
Mg  0.355491 -0.199455  0.456917  1.000000 -0.285879 -0.405470 -0.597966 -0.083831 -0.225146
Al -0.097684 -0.233938 -0.327767 -0.285879  1.000000  0.392322 -0.188319  0.012009  0.257605
Ca  0.325135 -0.158931 -0.459053 -0.405470  0.392322  1.000000 -0.044746 -0.410964  0.166520
Si -0.682742 -0.050338 -0.037899 -0.597966 -0.188319 -0.044746  1.000000 -0.237669  0.110443
Ba  0.150369  0.083427  0.008374 -0.083831  0.012009 -0.410964 -0.237669  1.000000 -0.024365
Fe -0.091236 -0.021056 -0.211264 -0.225146  0.257605  0.166520  0.110443 -0.024365  1.000000
